OTUID	checkm_completeness	checkm_contamination	checkm_marker_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus
GCA_004557405	94.35	0	278	92.21209709	49.40273046	1927438	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_W0P28-013
GCA_007116245	87.54	1.33	126	93.27270875	36.63533582	1227225	p_Firmicutes	c_Bacilli	o_Izemoplasmatales	Izemoplasmataceae	g_CSBR16-104
GCA_007122945	90.98	4.42	171	93.06807092	71.18667704	4173427	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_SKSP01
GCA_009702045	99.15	2.99	171	94.3860752	65.8636005	3652418	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_UBA668
GCA_009701715	94.44	1.44	171	93.97938687	65.89049158	2749122	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_WLJO01
GCF_003046425	98.82	0	140	81.987303	40.00411596	3887691	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCF_900156205	96.47	0	140	75.51937947	34.96289007	4583691	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCA_009919275	83.76	4.62	171	95.10250392	62.08365486	2250987	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_F1-20-MAGs119
GCA_010025655	80.31	2.99	171	95.6805642	61.00159638	1532214	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_F1-60-MAGs027
GCA_012719495	99.46	1.34	278	89.62399087	40.05304039	4189260	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae	g_SKHV01
GCA_012728235	98	0	105	89.45678258	39.06113172	1574747	p_Synergistota	c_Synergistia	o_Synergistales	Synergistaceae	g_JAAYFL01
GCA_012735145	92.55	0.71	247	92.12614355	39.12801583	1126970	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_RUG099
GCA_013151635	97.42	0.16	247	91.02333659	41.42513178	4214283	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	Desulfobacteraceae	g_Desulfobacula
GCA_013151645	90.16	2.56	544	91.06259188	55.7258162	3963789	p_Proteobacteria	c_Gammaproteobacteria	o_Woeseiales	Woeseiaceae	g_JAADHU01
GCF_000008765	99.07	0	404	85.54407405	30.89247839	4166409	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_S
GCA_013821025	91.95	1.28	171	92.34813955	67.83456807	2848915	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_JACDHN01
GCA_014190215	84.57	4.36	171	94.79555147	52.23890518	2211608	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_Casp-actino8
GCF_001471585	99.71	0.07	1130	87.83652223	47.5094067	3999810	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCA_900079685	97.04	1.58	284	88.09538893	60.08823299	4009354	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_FLUQ01
GCF_900102225	96.1	0.71	247	89.63749091	55.70928757	1843540	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_Eubacterium_T
GCA_900314855	98.14	0	334	89.94218162	59.4530156	1829522	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Succiniclasticum
GCA_900315205	97.6	0	334	86.63546947	55.91344036	2271999	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Acidaminococcus
GCA_900315555	97.16	2.36	247	90.26510794	53.65312216	1817637	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_RUG100
GCA_902796965	84.48	4.31	103	84.81961675	46.72638504	2117048	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_RUG708
GCF_001299635	97.2	0	250	85.30999534	28.39063113	3970979	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_Clostridioides
GCA_900543325	97.53	0.9	332	86.40485119	27.81982733	3186188	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium
GCA_900544025	96.27	0.81	278	89.64169862	44.43170113	3424017	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinifilaceae	g_Odoribacter
GCA_900544795	98.78	1.5	334	89.74078755	47.45294668	2063404	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Phascolarctobacterium
GCF_012317385	93.13	0.7	249	86.19100917	27.52832278	3022567	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_GCA-900066495
GCF_003479425	97.67	2.15	278	90.87074381	43.74960487	4650346	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinifilaceae	g_Butyricimonas
GCF_003606265	88.69	1.61	332	86.38316422	27.33273127	3200090	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium
GCA_900604495	98.59	0.7	249	87.12464723	27.71867634	3268392	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_GCA-900066495
GCA_900766645	84.27	1.12	149	91.58481815	29.31898375	2202341	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae	g_Cetobacterium_A
GCA_900769625	98.39	0.27	332	81.89302095	30.20769682	3104477	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium
GCA_900315925	91.75	3.15	334	86.67728181	49.04383483	2801658	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Succiniclasticum
GCA_902780845	82.74	3.43	247	91.71521514	48.29087978	1420230	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_RUG754
GCA_902766045	99.46	0.54	278	91.69838634	38.97662063	3351758	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_UBA1181
GCA_902766185	83.51	2.48	247	90.95967855	57.30072639	1937951	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_UBA1191
GCA_900320865	80.48	0	278	93.72862273	48.86110362	1782559	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RF16
GCA_902778585	99.27	0.73	247	91.52656837	51.00729603	1997526	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_RUG099
GCA_900319575	96.33	1.38	284	86.31090617	58.63765287	2505206	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Desulfovibrio
GCA_900319035	87.9	1.08	278	91.6953271	47.88031748	2407500	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RF16
GCA_900315345	88.52	3.71	334	86.85020297	49.44385296	2040214	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Succiniclasticum
GCA_900316995	97.04	0.54	278	92.2541169	43.52106806	2245864	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RUG163
GCA_902797095	84.52	1.06	247	91.25734613	54.68354696	1621773	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_UBA1191
GCA_902785605	85.22	0.81	278	94.11962051	50.513412	1943446	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RF16
GCA_902798965	90.05	0	278	91.41155116	50.01583742	2847697	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae	g_RF16
GCA_903843965	95.86	0	284	87.68456583	65.94638982	3585103	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Humidesulfovibrio
GCA_903873135	95.3	4.53	171	93.93420213	72.30228912	3205514	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Microtrichaceae	g_SXMI01
GCA_903854235	81.16	2.74	278	90.17934585	46.38851999	3403480	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae	g_CAINVV01
GCA_903901335	97.38	4.78	280	87.80133945	50.15737762	4762113	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae	g_CAIUQR01
GCA_903895515	89.32	2.99	171	96.15343195	51.6998352	1717843	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_UBA3006
GCA_903868545	96.58	2.99	171	93.55027209	73.24303449	3749476	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Microtrichaceae	g_CAIPVR01
GCA_009711295	80.67	3.07	171	95.98506598	52.17112209	1889645	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_F1-20-MAGs119
GCA_903905505	98.12	3.76	278	91.3358284	40.27716298	2934591	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae	g_JAAFHB01
GCF_000010665	100	0	280	85.60514107	62.67432585	5315620	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Solidesulfovibrio
GCF_000615005	99.94	0	989	85.86101801	44.63327089	4708380	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_000019185	99.84	0	868	83.84016811	44.59087451	5226917	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_001276985	99.31	0	404	80.9148644	28.22798467	4107013	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_F
GCF_000158275	100	0	149	89.23103115	26.95676939	2514029	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae	g_Fusobacterium
GCA_000182945	100	0	149	90.42694174	27.12390754	2268272	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae	g_Fusobacterium
GCF_000176175	99.39	1.41	946	87.53250876	50.60364127	4958664	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_900456975	99.84	0	989	84.5767306	46.14695553	5049928	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_000190535	99.46	0	278	89.02093852	43.35854115	4392288	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinifilaceae	g_Odoribacter
GCF_000204565	100	0	404	85.46869427	28.23237127	3207592	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_H
GCF_000243215	100	0	278	86.72601273	40.54609865	3773011	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinifilaceae	g_Odoribacter
GCF_000313175	97.65	0	140	84.75301931	41.86060183	4031631	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCF_000306255	98.82	0.11	140	75.67561709	35.50355908	4844090	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCF_005144905	99.85	0.63	1066	85.28890337	43.60369508	4892674	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_002163755	100	1.39	922	85.21390496	45.0019301	5124098	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_900115495	100	2.25	312	86.74401765	47.70834074	5457634	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Enterovibrio
GCF_000196495	99.86	0.09	919	88.66412777	38.98811008	4451541	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Aliivibrio
GCF_000243695	97.65	0	140	77.86523072	36.04148135	4703609	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCF_000422545	100	0	284	85.79934226	61.2492165	3929487	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Desulfocurvibacter
GCF_000350145	99.15	3.42	171	93.16055272	66.98565141	4282232	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae	g_Ilumatobacter_A
GCF_000439105	100	0	249	86.85115184	28.37633218	4001803	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_Terrisporobacter
GCF_000425045	100	0	334	87.06412842	49.99585273	2282467	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae	g_Acidaminococcus
GCF_000429305	100	0.6	280	87.6685421	49.15577734	5767550	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Alteridesulfovibrio
GCF_000429945	100	0	280	83.94768377	45.79702827	5800571	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfobulbaceae	g_Desulfobulbus_A
GCF_006802875	98.14	0.7	250	86.70577197	28.1217603	3535241	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_Paraclostridium
GCF_000473995	99.19	0.81	332	78.97963786	28.66237886	5107814	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium
GCF_001457555	100	0	149	91.64457328	26.79663352	2447188	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae	g_Fusobacterium
GCF_000498755	98.6	0.7	250	82.97810932	31.2792283	3052440	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_Clostridioides_A
GCF_004006635	100	1.12	149	91.2715086	33.84005011	2608492	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae	g_Fusobacterium_C
GCF_000696385	98.09	0.2	1130	86.99565374	46.87246967	3963175	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000753435	99.17	0.78	332	82.36672234	30.55550222	3750216	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_L
GCF_900460245	98.61	0.98	946	88.00643373	50.09936896	4662925	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_900167265	98.62	0.14	404	88.19965854	28.40229788	2890535	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_G
GCF_002741985	100	0.95	922	85.63116684	44.67570905	5612272	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_003026365	99.35	0.4	921	84.98662326	39.66799879	4772091	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_003026355	97.38	1.52	921	84.30527869	38.68215544	5123882	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_002156455	99.47	1.05	1066	85.53941049	44.58349636	5359740	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_001025035	97.44	1.28	171	93.00886186	57.25888123	3316799	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Microtrichaceae	g_IMCC26207
GCF_001048535	99.87	0.37	1066	85.86928707	44.22559241	5564744	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000222685	99.18	3.71	922	88.65513897	45.66011841	6613003	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_001266905	100	0.69	404	86.73564863	27.87133129	3178512	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_H
GCF_000354175	99.73	0.13	922	86.87391219	44.579941	5284103	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_001270375	82.21	1.38	404	82.55028795	30.6343367	3988828	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_S
GCA_000953675	100	0.7	250	87.09407622	27.34036068	3444643	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae	g_Paraclostridium
GCF_001591145	99.73	1.88	922	85.61076231	44.97927721	5758394	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_001558255	100	0	312	87.17154369	49.51017134	3998439	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Enterovibrio
GCF_002265265	96.49	1.99	922	84.53261783	43.40483606	5310194	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_000244815	98.82	0	140	83.01518758	40.69458933	4325376	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCF_000347175	98.82	0	140	85.99126416	42.50536497	4437581	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira
GCF_001889325	99.31	0.08	404	82.56830755	27.69079974	4269660	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_F
GCF_009763805	99.97	1.95	922	87.11480469	48.15727886	4665036	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000011805	99.93	0.14	920	88.52314591	38.17500497	4429097	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Aliivibrio
GCF_001655775	97.12	0.96	178	91.31068836	26.1413378	1631326	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Dwaynesavagella
GCF_002874155	100	0.85	1066	85.7650866	43.99927505	5550803	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_001558015	99.87	0.58	1066	85.48401203	44.10722726	5373978	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_002006445	99.19	0.81	332	80.77255575	29.70741777	5880896	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium
GCF_001874525	100	0.59	284	88.77701497	63.79329736	4081579	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae	g_Pseudodesulfovibrio
GCF_000016505	99.31	2.07	404	83.99743936	31.57194411	4512934	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_B
GCF_001939735	99.66	3.02	922	85.61221042	47.94010165	6484429	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_001957135	99.78	0.62	868	85.1415399	41.99146832	4598774	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_000807255	96.83	0.08	404	81.81361022	29.80607173	4265470	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_I
GCF_002875705	99.74	1.69	1066	85.68603566	43.96295733	5778497	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_005280275	99.97	0	312	88.04103285	50.36630332	3535899	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Salinivibrio
GCF_000203935	99.84	0.76	989	86.80317617	47.91452136	5340141	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_002218025	96.28	0.95	922	85.52738125	40.72321314	4140771	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_002749895	97.72	0.75	946	86.05695659	43.42074655	3617632	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_004368965	100	0	140	93.21421637	38.1342825	4115339	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira_A
GCF_003855155	97.67	0.94	868	81.58567354	42.28150959	4554090	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_001677275	95.43	1.27	922	85.47569535	45.05820359	4194218	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_002873615	99.72	0.47	868	84.63220744	40.56731284	4861069	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_002873335	97.74	2.65	1067	85.24656862	44.36555824	5159071	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000272045	100	0.88	1066	85.50524103	44.51271427	5009797	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_008801285	99.21	1.56	1066	84.94806933	43.46755416	4733426	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000740015	99.66	2.77	946	87.58187783	43.32396097	4544576	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_000400365	100	0.33	922	86.77213203	45.05969191	6089772	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Vibrio
GCF_002995795	99.31	0.73	404	87.00642744	30.98424193	2819317	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae	g_Clostridium_H
GCA_000007325	100	0.16	149	90.7167915	27.18092626	2299539	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae	g_Fusobacterium
GCF_003026105	100	0.37	921	85.05034323	40.04048295	4683947	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_000950415	99.67	1.28	921	84.86216616	40.92554071	4625642	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_003026475	99.11	2.07	922	84.3797874	45.88726225	4943313	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae	g_Photobacterium
GCF_000518605	99.84	3.37	868	85.1107428	42.77146787	5462838	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_003114815	100	0	140	93.0797281	37.34683716	4193578	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae	g_Leptospira_A
GCF_003254275	100	1.09	275	85.20205197	46.57180263	4380952	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae	g_Breznakibacter
GCF_002966515	99.74	0.87	989	85.51621926	45.44930628	4954542	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae	g_Shewanella
GCF_003433295	96.81	0.6	247	85.00700664	45.76021063	1906764	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae	g_Eubacterium_A
GCF_000519105	99.46	0	278	90.68529612	42.69005884	4851888	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinifilaceae	g_Butyricimonas
