OTUID	C00120	C00194	C03492	C00062	C00097	C00025	C00135	C00407	C00123	C00047	C00073	C00077	C00079	C00148	C00065	C00188	C00078	C00082	C05819	C00003	C03313	C00032	C00018	C00016	C00101	C00068	C00390	C00105	C00130
GCA_000961655	1	0.857142857	0.8	1	1	0.6	0.666666667	1	0.666666667	1	0.714285714	1	0.5	1	1	1	1	0.333333333	0.4	0.8	0	1	1	0.857142857	0.6	0.75	0.444444444	1	1
GCA_000961725	1	1	0.6	1	1	0.363636364	0.666666667	1	1	0.857142857	0.571428571	1	0.5	1	0.666666667	0.6	1	0.333333333	1	0.8	0	1	0.833333333	0.857142857	0.6	0.571428571	0.222222222	1	0.875
GCA_001304855	0.333333333	0.714285714	0.6	1	0.5	0	0.333333333	1	0.666666667	0.666666667	0.571428571	0.5	0.5	1	1	0.4	0.333333333	0.333333333	0	0.4	0	0.4	1	1	0.4	0.285714286	0	0.666666667	0.75
GCA_001304875	0.6	0.714285714	0.2	1	1	0	0.666666667	0.8	0.666666667	0.666666667	0.571428571	1	0	0.5	0.666666667	0.4	0	0.5	0	0.4	0	0.4	0.166666667	1	0.333333333	0.142857143	0	0.666666667	0.75
GCA_001304935	0.333333333	0.571428571	0.2	1	0.5	0.272727273	0.5	0.8	0	1	0.714285714	0.75	0	0.5	0.666666667	0.6	0.333333333	0	0	0.8	0	0.7	1	0.285714286	0.6	0.571428571	0	0.666666667	0.625
GCA_001310415	1	0.428571429	0.6	0.666666667	1	0.6	0.833333333	0.8	1	0.777777778	0.714285714	0.5	0	1	1	0.8	0.333333333	0.5	0.555555556	0.6	0.285714286	1	0.666666667	0.857142857	0.6	0.714285714	0.777777778	0.666666667	0.875
GCA_001312405	0.333333333	0.714285714	0	1	1	0	0.5	0.8	0	0.571428571	0.571428571	0.75	0	1	0.333333333	0.4	0.666666667	0.5	0	0.4	0	0.8	0.333333333	0.571428571	0.2	0.428571429	0.111111111	0.666666667	0.75
GCA_001314655	0	0.142857143	0.6	1	0.5	0.545454545	0.833333333	1	1	1	0.714285714	1	0.5	1	1	0.8	1	0.666666667	0.111111111	0.375	0	0.875	0.666666667	0.857142857	0.6	0.2	0.555555556	1	1
GCA_001314705	0	0.714285714	0.4	1	0.5	0.454545455	1	1	1	1	0.714285714	1	0.5	1	0.333333333	0.8	1	0.666666667	0.111111111	0.625	0	0.875	0.5	0.857142857	0.6	0.25	0.444444444	1	1
GCA_001314805	0	0.857142857	0.4	1	0.5	0.454545455	1	1	1	1	0.857142857	1	0.5	1	1	0.8	1	0.666666667	0.111111111	0.5	0	0.875	0.666666667	0.857142857	0.6	0.2	0.555555556	1	1
GCA_001483205	0	0.714285714	0.6	1	0.5	0.545454545	0.5	0.8	0.666666667	0.777777778	0.857142857	1	0.5	1	1	0.8	1	0.666666667	0.111111111	0.6	0	0.9	0.666666667	0.714285714	0.6	0.444444444	0.555555556	1	1
GCA_001487125	1	1	0.4	0.333333333	1	0.090909091	1	0	0	0.666666667	0.285714286	0	0	0	0.666666667	0.2	0	0	0.666666667	0.8	0.285714286	0.3	1	0.857142857	0.8	0.714285714	0.111111111	1	1
GCA_001509345	0	0.571428571	0.2	1	0.166666667	0	0.666666667	1	1	0.777777778	0.571428571	1	0	1	0.333333333	0.6	1	0.5	0	0.6	0	0.2	0	0.285714286	0.4	0.2	0	1	1
GCA_001510385	0	0.142857143	0.4	1	0.166666667	0.181818182	0.5	1	0.666666667	0.857142857	0.857142857	0.75	0.5	0.5	1	1	1	0.5	0.444444444	0.25	0.142857143	1	1	0.857142857	0.333333333	0.2	0	1	0.25
GCA_001627925	0	0.571428571	0.6	1	0.5	0.272727273	0.833333333	1	1	1	0.857142857	1	0	1	0.666666667	0.8	1	0.666666667	0.111111111	0.375	0	0.875	0.5	0.857142857	0.6	0.2	0.333333333	1	1
GCA_001708385	0	0.142857143	0.4	0.666666667	1	0.272727273	1	0.25	0	1	0.857142857	0.25	0	0	0.666666667	1	0.666666667	0	0.555555556	0.875	0.285714286	1	0.5	0.857142857	1	0.75	0.111111111	1	1
GCA_001799365	0.4	1	0.6	0.428571429	1	0.363636364	0.5	1	1	0.857142857	0.571428571	1	0.5	1	0.666666667	0.6	0.666666667	0.333333333	1	1	0	0.9	0.666666667	0.857142857	0.6	0.571428571	0.222222222	1	0.75
GCA_001799475	0.666666667	0.714285714	0.4	1	1	0.272727273	0.666666667	0.666666667	1	0.857142857	0.571428571	1	0.5	1	0.333333333	0.6	0.666666667	0.333333333	0.666666667	1	0	1	0.166666667	0.571428571	0.2	0.75	0.333333333	1	0.875
GCA_001871085	1	0.714285714	0.4	1	1	0.181818182	0.5	1	1	1	0.571428571	0.75	0.5	0.5	0.666666667	0.8	0.666666667	0.333333333	1	0.6	0	1	0.166666667	0.857142857	0.4	0.75	0.333333333	1	0.75
GCA_001873105	0	0.142857143	0.4	0	1	0.181818182	1	0	0	0.714285714	0.428571429	0	0	0	0.666666667	0.4	0.666666667	0	0.555555556	0.875	0.285714286	1	0.5	0.857142857	0.6	0	0.111111111	1	1
GCA_001873635	0.333333333	0.571428571	0.2	0.666666667	1	0.181818182	1	1	1	1	0.857142857	0	0	0.5	0.666666667	0.8	0.666666667	0	0.444444444	0.6	0.285714286	0.9	0.666666667	0.857142857	0.8	0.25	0	0.666666667	0.875
GCA_001898935	0.333333333	0.142857143	0.6	0.666666667	1	0.181818182	1	1	1	1	0.857142857	0.5	0	0.5	0.333333333	0.8	0.666666667	0	0.444444444	1	0.285714286	0.9	0.666666667	0.857142857	1	0.25	0	1	1
GCA_001989995	1	0.857142857	0.6	1	1	0.6	1	1	1	1	0.857142857	1	0	1	1	1	1	0	0.888888889	0.8	0.428571429	1	1	0.857142857	0.8	1	1	1	1
GCA_002069025	0	0.142857143	0.6	0.666666667	0.5	0	0.5	1	0.666666667	0.714285714	0.285714286	0.25	0	0.5	0.666666667	0.2	0	0	0	1	0	0.3	0.5	0.714285714	1	0.25	0	1	0.875
GCA_002070265	0.333333333	0.142857143	0.6	0.666666667	1	0.090909091	0.666666667	1	1	1	0.857142857	0.25	0	0.5	0.333333333	0.8	0	0	0.111111111	0.8	0	0.3	0.5	0.857142857	1	0.25	0	1	1
GCA_002084425	0	0.142857143	0.4	1	0	0.181818182	0	0.25	0.333333333	0.857142857	0.428571429	1	0	1	1	1	0	0	1	0.4	0	1	0.333333333	0.857142857	0.4	0.2	0.222222222	0.666666667	0.125
GCA_002162835	0.666666667	0.142857143	0.4	0	1	0.181818182	0	0.25	0	0.666666667	0.428571429	0	0	0.5	0.333333333	0.2	0	0.5	0.444444444	0.625	0.285714286	0.9	0.333333333	0.714285714	1	0.25	0	1	1
GCA_002171475	0	0.142857143	0.2	0	0.5	0.181818182	0	0.8	0	0.857142857	0.571428571	0	0	0	0.666666667	1	0.333333333	0.5	0	0.6	0	1	0.333333333	0.428571429	0	0.25	0	1	0.625
GCA_002217245	0.666666667	1	0.4	0.666666667	1	0.181818182	0	1	1	0.714285714	0.714285714	0.5	0	0.5	0.666666667	0.2	1	0	0.555555556	0.8	0.285714286	1	0.5	0.857142857	1	0.571428571	0.111111111	1	0.875
GCA_002237645	1	0.857142857	0.4	1	1	0.090909091	0.666666667	1	1	1	0.714285714	1	0.5	1	0.333333333	0.8	0.666666667	0.333333333	1	0.8	0	1	1	0.857142857	0.4	0.75	0.333333333	1	1
GCA_002238525	0	0	0.4	0.666666667	1	0.272727273	1	1	1	0.857142857	0.857142857	0.25	0	0.5	0.333333333	1	0.666666667	0.5	0.444444444	0.8	0.285714286	0.3	0.5	0.857142857	0.8	0.25	0	1	0.875
GCA_002238565	0	0.857142857	0.4	1	0.5	0.454545455	1	1	1	1	0.857142857	1	0.5	1	1	0.8	1	0.666666667	0.111111111	0.25	0	0.9	0.666666667	0.857142857	0.2	0.2	0.444444444	1	0.25
GCA_002239085	0	0.857142857	0	1	0.5	0.454545455	0.833333333	1	1	1	0.857142857	1	0	1	1	0.8	1	0.666666667	0.111111111	0.25	0	1	0.5	0.857142857	0.2	0.2	0.222222222	1	0.25
GCA_002256285	1	0.142857143	0.4	0	1	0.181818182	0	0.25	0	0.857142857	0.857142857	0	0	0.5	0.666666667	1	0	0.5	0.555555556	0.875	0.285714286	1	0.5	0.857142857	0.8	0.25	0.111111111	1	1
GCA_002256385	0.666666667	0.142857143	0.4	0	1	0.272727273	0	0.25	0	0.857142857	0.857142857	0	0	0.5	0.666666667	1	0	0	0.555555556	0.75	0.285714286	1	0.5	0.857142857	1	0.25	0.111111111	1	0
GCA_002280405	0	0.857142857	0.4	0.666666667	0.5	0.272727273	0.833333333	0.666666667	1	0.888888889	0.428571429	1	0.5	0.5	0.666666667	0.4	0.333333333	0.666666667	0.111111111	0.2	0	0.875	0.666666667	0.714285714	0.4	0.2	0.444444444	0.666666667	0.875
GCA_002280515	0	0.857142857	0.8	1	0.5	0.545454545	1	1	1	1	0.857142857	1	0.5	1	1	0.8	1	0.666666667	0.111111111	0.625	0	0.9	0.666666667	0.857142857	0.6	0.2	0.666666667	1	1
GCA_002293375	1	0.142857143	0.4	1	0.333333333	0.090909091	1	1	0	0.833333333	0.285714286	0.25	0	0	0.333333333	0.2	0	0.5	0.222222222	0.8	0	0.3	0.333333333	0.857142857	1	0.285714286	0.111111111	0.666666667	1
GCA_002293605	0.4	0.714285714	0.4	1	0.5	0.181818182	0.666666667	0.75	1	1	0.714285714	1	0.5	0.5	0.333333333	0.8	0.333333333	0.333333333	0.8	0.6	0	1	0	0.714285714	0.2	0.142857143	0.222222222	1	0.875
GCA_002298125	0.666666667	1	0.4	0.333333333	1	0.181818182	0	0.25	0	0.571428571	0.428571429	0.25	0	0.5	0.333333333	0.4	0	0	0.111111111	0.4	0	0.7	0	0.285714286	0.6	0.285714286	0.222222222	1	1
GCA_002299665	0	0.857142857	0	1	1	0.090909091	1	0.8	0.333333333	0.714285714	0.571428571	1	0.5	1	0.666666667	0.8	1	0.5	0	1	0	0.3	1	1	0.6	0.428571429	0	1	1
GCA_002304835	0.333333333	0.428571429	0	0.333333333	1	0	0.833333333	1	1	0.222222222	0.571428571	0.75	0	1	0.666666667	0.6	0	0	0	0	0	0.3	0.166666667	0.285714286	0.6	0.285714286	0	1	1
GCA_002304925	0	0.142857143	0	1	1	0.272727273	1	1	1	1	0.714285714	0.25	0	0.5	0.666666667	0.8	0	0.5	1	0.8	0	0.3	0.5	0.142857143	1	0.25	0.333333333	1	0.875
GCA_002306075	0.333333333	0.428571429	0.2	1	0.5	0.090909091	0.666666667	1	0.666666667	0.833333333	0.857142857	0.666666667	0	0	0.333333333	1	0	0	0	0.4	0	0.1	1	1	0.4	0.2	0	0.666666667	0.75
GCA_002309835	0.333333333	0.142857143	0.4	0	1	0	0	0.25	0	0.714285714	0.142857143	0	0	0	0.666666667	0.2	0	0	0.222222222	0.8	0	0.3	0.5	0.857142857	0.8	0.25	0.111111111	0.333333333	0
GCA_002310095	0	0.428571429	0	0	0.5	0	0.833333333	1	0	0.666666667	0.714285714	0	0	1	0.666666667	0.8	0	0	0	0.25	0	0.6	0.166666667	0.285714286	0.6	0.2	0	0.333333333	0.75
GCA_002310215	0	0	0.4	0.666666667	1	0	0.833333333	1	1	1	1	0.5	0	0.5	0.666666667	0.8	0.666666667	0.5	0.555555556	1	0.142857143	0.9	1	1	0.8	0.75	0.111111111	1	1
GCA_002315335	0.333333333	0	0.2	1	1	0	1	0.25	0	0.666666667	0.428571429	0.75	0	1	0.666666667	0.6	0	0	0	0.25	0	0.1	0.166666667	0.142857143	0.6	0.2	0	0.666666667	0.75
GCA_002315385	0.333333333	0	0	1	1	0	0.833333333	1	0	0.833333333	0.571428571	0.75	0	1	0.666666667	0.8	0	0	0	0.2	0	0.2	0.166666667	0.142857143	0.6	0.333333333	0	0.666666667	0.75
GCA_002315495	0	0	0	0.333333333	0.5	0.090909091	0.833333333	1	1	0.714285714	0.428571429	0.75	0	1	0.666666667	0.6	0.666666667	0.5	0	0.2	0	0.2	0.166666667	0.857142857	0.4	0.2	0	0.666666667	0.75
GCA_002315535	0	0	0.2	0.666666667	0.5	0	1	0	0	0.166666667	0.714285714	0	0	0	0.333333333	0.6	0	0	0.111111111	0.2	0	0.3	0.166666667	0.142857143	0.6	0.2	0	0.333333333	0.125
GCA_002315615	0	0	0.4	0.666666667	1	0.181818182	1	0.75	0.333333333	1	0.714285714	0.25	0	0.5	0.666666667	0.8	0	0	0.666666667	0.6	0.285714286	0.3	0.5	0.857142857	0.8	0.25	0.111111111	0.666666667	0.875
GCA_002315745	0.333333333	0.142857143	0.2	0	0.5	0.090909091	0	0.25	0	0.5	0.142857143	0	0	0	0.333333333	0.2	0	0	0.111111111	1	0	0.2	0.5	0.857142857	0.8	0.5	0	0.333333333	0
GCA_002316225	0	0.571428571	0.4	0.666666667	1	0	0	0.25	0	0.666666667	0.25	0.25	0	0	0.666666667	0.6	0	0	0	0.4	0	0.3	0	0.285714286	0.6	0.2	0	0.666666667	0.875
GCA_002316385	1	0.857142857	0.6	0.333333333	1	0.181818182	0	0.25	0	0.857142857	0.714285714	0	0	0.5	0.666666667	0.4	0	0	0	0.8	0	0.8	1	1	0.6	0.714285714	0	1	1
GCA_002316795	0.333333333	0.428571429	0.2	1	0.5	0.090909091	0.5	1	0.666666667	1	0.857142857	0.666666667	0	0	0.333333333	1	0	0	0	0.6	0	0.1	1	1	0.4	0.25	0	0.666666667	1
GCA_002317295	0	0.142857143	0.4	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.2	0.166666667	0.571428571	0.6	0.5	0	0.333333333	0
GCA_002320005	0	0.428571429	0.4	0.333333333	1	0	1	1	1	0.714285714	0.714285714	0	0	0.5	0.666666667	0.8	0	0	0	0.25	0	0.3	0.166666667	1	0.6	0.142857143	0	0.666666667	0.875
GCA_002323775	0.333333333	0.285714286	0	0.333333333	0.5	0	0	0.5	0	0.571428571	0.714285714	0.25	0	0	0	0.4	0	0	0	0.25	0	0.1	0	0.285714286	0.4	0.571428571	0	0.666666667	1
GCA_002329565	0.666666667	0	0.2	0.666666667	1	0	0.833333333	0.2	0	1	0.428571429	0	0	1	0.666666667	1	0	0	0	0.2	0	0.2	0.166666667	0.285714286	0.8	0.428571429	0	0.666666667	0.875
GCA_002329675	0.333333333	0.142857143	0.4	1	1	0	0.5	1	1	0.571428571	0.571428571	0.25	0	0.5	1	0.4	0	0	0	0	0	0.2	0.166666667	0.142857143	0.6	0.285714286	0	0.333333333	0.875
GCA_002332905	0.333333333	0.571428571	0	0.333333333	0.5	0	1	0.5	0	0.833333333	0.714285714	0	0	0.5	0	0.4	1	0.5	0	0.4	0	0.4	0	0.285714286	0.4	0.571428571	0	0.666666667	1
GCA_002333425	0.5	0.571428571	0.4	1	1	0.181818182	0.5	0.75	0.666666667	0.857142857	0.714285714	0.75	0.5	0.5	0.666666667	1	0	0.5	0.6	0.8	0	0.7	0.5	0.714285714	0.4	0.571428571	0.111111111	1	1
GCA_002340305	0.666666667	0.714285714	0.4	0.666666667	1	0.181818182	0.333333333	0.5	0.333333333	1	0.428571429	1	0.5	0.5	0.333333333	0.6	0.333333333	0.333333333	0.833333333	1	0	1	0.166666667	0.571428571	0.6	0.571428571	0.333333333	1	0.875
GCA_002340985	0	0.714285714	0.2	0.333333333	0.333333333	0	0.166666667	0.666666667	1	0.571428571	0.571428571	0.25	0	0.5	0.333333333	0.6	0	0.5	0	0.375	0	0.4	0	0.142857143	0.8	0.2	0	0.666666667	1
GCA_002341165	0	0	0.4	0.142857143	0.166666667	0.6	0	0.25	0	0.777777778	0.142857143	0.25	0	0	0.333333333	0.2	0	0	0.222222222	1	0.142857143	1	1	0.714285714	1	0.5	1	1	0.25
GCA_002341865	0.666666667	0.857142857	0	1	1	0.181818182	0	0.4	0	0.714285714	0.571428571	0.25	0	1	0.333333333	0.4	0	0	0	0.4	0	0.8	1	1	0.8	0.428571429	0	0.666666667	1
GCA_002342685	1	1	0.6	1	1	0.6	1	1	1	1	0.857142857	1	1	1	1	1	1	1	0.888888889	0.8	0.428571429	1	1	1	1	0.714285714	1	1	1
GCA_002342735	0.666666667	0.857142857	0.6	1	1	0.6	1	1	1	1	0.857142857	1	0.5	1	1	1	1	0.5	0.888888889	0.6	0.428571429	1	1	0.857142857	1	0.714285714	0.666666667	1	0.875
GCA_002342785	0.666666667	0.857142857	0.2	1	1	0.090909091	1	1	1	0.857142857	1	1	0.5	1	0	1	0.666666667	0.5	0	0.6	0	0.7	0	1	0.8	0.428571429	0	1	1
GCA_002351925	0.333333333	0.142857143	0.4	0	1	0.090909091	0	0.25	0	0.714285714	0.285714286	0	0	0	0.666666667	0.2	0	0	0.222222222	0.8	0	0.2	0.5	0.857142857	0.8	0.25	0.111111111	0.333333333	0
GCA_002352445	0.666666667	1	0.6	1	1	0.363636364	0.5	1	1	0.857142857	0.571428571	0.5	0.5	1	1	0.8	0	0.333333333	0.333333333	0.8	0.142857143	1	0.666666667	0.714285714	0.6	0.2	0.111111111	1	0.875
GCA_002352605	0	0.285714286	0.2	0.333333333	1	0.363636364	0.5	1	1	0.857142857	0.714285714	0.5	0.5	1	1	0.8	1	0.333333333	0.6	0.4	0	1	0.666666667	0.857142857	0.6	0.75	0.111111111	1	0.875
GCA_002352665	0	0.142857143	0.4	0.666666667	1	0.181818182	1	1	1	1	1	0.25	0	0.5	0.666666667	1	1	0.5	0.555555556	0.75	0.285714286	1	0.5	0.857142857	1	0.25	0.111111111	1	1
GCA_002353585	0.333333333	0.142857143	0.4	0.666666667	1	0	0.833333333	1	1	1	0.857142857	0.25	0	0.5	0.333333333	0.8	0.666666667	0	0.222222222	1	0	0.3	1	1	0.6	0.25	0.111111111	1	1
GCA_002353825	0.333333333	0	0.6	0.666666667	1	0.090909091	1	1	1	1	0.857142857	0.25	0	0.5	0.333333333	0.8	0.666666667	0	0.555555556	1	0.285714286	0.3	1	1	0.6	1	0.111111111	1	1
GCA_002354055	0.333333333	0.142857143	0.4	0	1	0.090909091	0	0.25	0	0.714285714	0.285714286	0	0	0	0.333333333	0.2	0	0	0.222222222	1	0	0.3	0.5	0.857142857	0.8	0.25	0.111111111	0.666666667	1
GCA_002360925	0	0.571428571	0.4	0.666666667	1	0.181818182	0	0.25	0	0.857142857	1	0.5	0	0	0.333333333	0.6	0	0	0.444444444	0.8	0.285714286	1	0.333333333	0.857142857	1	0.5	0.111111111	0.666666667	0.875
GCA_002361175	0.333333333	0.857142857	0.4	1	0.5	0.090909091	0.666666667	1	1	1	0.714285714	1	0.5	1	0.333333333	0.8	0.666666667	0.5	0	0.8	0	0.7	1	1	0.166666667	0.714285714	0	1	1
GCA_002362105	0.333333333	0.714285714	0.6	0.666666667	1	0	1	1	1	0.857142857	1	0.25	0	1	0.666666667	0.8	0.666666667	0	0.444444444	1	0.142857143	0.9	0.5	1	0.8	0.571428571	0.111111111	0.666666667	1
GCA_002362155	0.333333333	0	0.2	1	1	0.090909091	0.666666667	0.8	1	0.833333333	0.571428571	1	0	0.5	1	0.8	0.666666667	0.5	0	0.2	0	0.2	0.166666667	0.285714286	0.6	0.2	0	0.666666667	0.875
GCA_002364215	0	0.142857143	0.4	0	1	0.363636364	1	0.4	0	0.714285714	0.571428571	0	0	0	0.666666667	0.2	0.666666667	0	0.555555556	0.875	0.285714286	1	0.5	0.857142857	1	0.25	0.111111111	1	1
GCA_002366675	0.666666667	0.142857143	0.4	0	0.5	0.181818182	0.166666667	0.25	0	0.857142857	0.571428571	0	0	0	0.666666667	0.6	0	0.5	0.444444444	0.75	0.285714286	1	0.5	0.571428571	0.8	0.25	0	1	0.75
GCA_002368645	0.333333333	0.142857143	0.4	0	0	0.090909091	0	0.25	0	0.714285714	0.142857143	0	0	0	0.333333333	0.2	0	0	0	1	0	0.2	0.5	0.857142857	0.6	0.25	0	0.333333333	0
GCA_002369135	0	0	0.4	1	1	0.090909091	0.833333333	1	1	0.857142857	0.571428571	1	0.5	1	0.666666667	0.8	0	0.5	0	0.8	0	0.2	0.166666667	0.142857143	0.6	0.2	0	1	1
GCA_002369295	0.666666667	0.714285714	0.4	0.666666667	1	0.090909091	0.5	1	0.666666667	0.833333333	0.571428571	0.75	0.5	0.5	0.333333333	0.6	0	0.333333333	0.444444444	0.8	0.285714286	1	0	0.857142857	0.4	0.571428571	0.111111111	0.666666667	1
GCA_002371265	0	0	0.6	0.666666667	1	0	1	1	1	1	1	0.25	0	0.5	1	0.8	0.666666667	0	0.444444444	1	0.142857143	0.9	0.333333333	1	0.8	0.571428571	0.111111111	1	1
GCA_002371335	0	0.571428571	0.4	1	1	0.090909091	0.666666667	1	0.666666667	0.857142857	0.714285714	1	0.5	1	1	0.8	1	0.5	0	0.25	0	0.7	0.166666667	1	0.4	0.571428571	0	0.666666667	1
GCA_002371785	0.333333333	0.142857143	0.4	0	0.5	0.090909091	0	0.25	0	0.571428571	0.285714286	0	0	0	0.333333333	0.2	0	0	0.111111111	0.6	0	0.2	0.5	0.714285714	0.8	0.25	0.111111111	0.666666667	0
GCA_002372505	0.333333333	0	0.4	1	1	0	0.833333333	0.6	0	0.833333333	0.571428571	1	0	0.5	1	0.8	0	0	0	0.2	0	0.2	0.166666667	0.857142857	0.8	0.333333333	0	1	1
GCA_002372575	0	0	0	1	0.333333333	0	0	0.25	0	0.833333333	0.714285714	0	0	0	0.333333333	0.6	0	0	0.222222222	0	0	0.3	0.166666667	0.857142857	0.6	0	0.111111111	0.333333333	0.75
GCA_002373505	0.333333333	0.142857143	0.4	0	1	0.090909091	0	0.25	0	0.714285714	0.285714286	0	0	0	0.666666667	0.2	0	0	0.222222222	1	0	0.3	0.5	0.857142857	0.8	0.25	0.111111111	0.666666667	1
GCA_002373595	0	0.714285714	0	1	1	0.090909091	0.5	1	1	0.714285714	0.571428571	1	0.5	1	0.333333333	0.4	0	0.5	0	0	0	0.1	0.166666667	0.142857143	0.8	0.142857143	0	1	1
GCA_002373675	0.333333333	0	0.6	1	1	0.090909091	0.833333333	1	1	0.857142857	0.571428571	1	0	1	0.666666667	0.6	0.666666667	0.5	0	0.8	0	0.3	0.166666667	0.285714286	0.8	0.571428571	0	1	1
GCA_002376065	0.666666667	0.142857143	0.2	0.333333333	1	0.181818182	0.333333333	0.25	0	0	0.125	0	0	0.5	0.333333333	0	0	0	0	0.25	0	0.3	0	0.285714286	0.4	0.285714286	0	0.666666667	0.125
GCA_002381185	0	0.857142857	0.4	0.666666667	1	0	0.833333333	0.8	0.333333333	0.714285714	0.714285714	0.25	0	0.5	0.333333333	0.8	0	0.5	0	0.5	0	0.3	0	0.142857143	0.8	0.333333333	0	1	1
