Comparison	Taxa	Group	GP	LDA	P.unadj	P.adj	Significance
D21C - D21M	Rhizobiaceae	D21	M	2.846965603	3.10E-05	0.000225561	***
D21C - D21M	Moritellaceae	D21	M	2.840892948	1.43E-05	0.000128113	***
D21C - D21M	Marinobacteraceae	D21	M	2.768791492	3.14E-06	3.48E-05	***
D21C - D21M	Halomonadaceae	D21	M	2.749081303	0.000608811	0.002579033	**
D21C - D21M	Idiomarinaceae	D21	M	2.674033284	2.87E-05	0.000213995	***
D21C - D21M	Bdellovibrionaceae	D21	M	2.621697224	6.22E-05	0.000400503	***
D21C - D21M	Sphingomonadaceae	D21	M	2.605729614	2.17E-05	0.000172404	***
D21C - D21M	Erysipelotrichaceae	D21	M	2.567786175	0.000152361	0.000910921	***
D21C - D21M	Crocinitomicaceae	D21	M	2.556774987	4.26E-06	4.56E-05	***
D21C - D21M	Cyclobacteriaceae	D21	M	2.556189597	0.004505805	0.014120421	*
D21C - D21M	Arcobacteraceae	D21	M	2.491464313	0.000348241	0.001668603	**
D21C - D21M	Rhodothermaceae	D21	M	2.458640859	0.004902959	0.015090844	*
D21C - D21M	Geopsychrobacteraceae	D21	M	2.372979376	1.17E-05	0.000108469	***
D21C - D21M	Gemmatimonadaceae	D21	M	2.236500759	0.002216835	0.007627721	**
D21C - D21M	Geothermobacteraceae	D21	M	2.201232762	0.000355238	0.001672994	**
D21C - D21M	Syntrophotaleaceae	D21	M	2.182869667	0.000621759	0.002600235	**
D21C - D21M	Trueperaceae	D21	M	2.150861158	0.008681425	0.023013967	*
D21C - D21M	Latescibacteraceae	D21	M	2.14425847	0.000173964	0.000977677	***
D21C - D21M	FFCH9454	D21	M	2.06138768	1.87E-05	0.0001572	***
D21C - D21M	Eel-36e1D6	D21	M	2.027609753	0.000642548	0.002655237	**
D21C - D21M	Exiguobacteraceae	D21	M	2.027031047	1.65E-05	0.000142073	***
D21C - D21M	Schleiferiaceae	D21	M	2.014408293	6.18E-06	6.35E-05	***
D30C - D30M	Desulfobacteraceae	D30	C	5.035785803	6.30E-08	1.65E-06	***
D30C - D30M	Marinifilaceae	D30	C	4.786280359	6.30E-08	1.65E-06	***
D30C - D30M	Synergistaceae	D30	C	4.564943095	1.80E-08	1.13E-06	***
D30C - D30M	Peptostreptococcaceae	D30	C	4.122340226	6.30E-08	1.65E-06	***
D30C - D30M	Marinilabiliaceae	D30	C	4.060491133	1.78E-07	3.01E-06	***
D30C - D30M	Prolixibacteraceae	D30	C	3.75826966	4.84E-06	4.36E-05	***
D30C - D30M	Desulfovibrionaceae	D30	C	3.534297018	3.06E-07	4.28E-06	***
D30C - D30M	MSBL8	D30	C	3.523851965	5.59E-08	1.65E-06	***
D30C - D30M	Bacteroidetes_BD2-2	D30	C	3.383979624	1.54E-07	3.01E-06	***
D30C - D30M	GoM-GC232-4463-Bac1	D30	C	3.245501111	3.21E-08	1.53E-06	***
D30C - D30M	Clostridiaceae	D30	C	3.187062116	0.016064013	0.041622731	*
D30C - D30M	LK-44f	D30	C	3.056548499	0.001551574	0.005592561	**
D30C - D30M	Lentimicrobiaceae	D30	C	3.004303023	7.33E-08	1.75E-06	***
D30C - D30M	SB-5	D30	C	2.857875948	1.04E-08	1.13E-06	***
D30C - D30M	Christensenellaceae	D30	C	2.831083374	3.10E-05	0.000215144	***
D30C - D30M	Hungateiclostridiaceae	D30	C	2.799340326	0.000721539	0.002985553	**
D30C - D30M	Thermotaleaceae	D30	C	2.798355284	1.59E-07	3.01E-06	***
D30C - D30M	Kiloniellaceae	D30	C	2.704225892	4.42E-05	0.000293554	***
D30C - D30M	Chromatiaceae	D30	C	2.690124714	0.00170215	0.006001928	**
D30C - D30M	Sulfurovaceae	D30	C	2.682579481	0.000356148	0.001650494	**
D30C - D30M	Kosmotogaceae	D30	C	2.622661094	6.59E-05	0.000410968	***
D30C - D30M	Ectothiorhodospiraceae	D30	C	2.576276527	1.33E-05	9.90E-05	***
D30C - D30M	Salinivirgaceae	D30	C	2.553870209	2.12E-08	1.15E-06	***
D30C - D30M	Oscillospiraceae	D30	C	2.504285021	0.011913626	0.031993214	*
D30C - D30M	Thioalkalispiraceae	D30	C	2.390260638	7.11E-06	6.07E-05	***
D30C - D30M	Sedimenticolaceae	D30	C	2.313640355	0.000102959	0.000579862	***
D30C - D30M	Bifidobacteriaceae	D30	C	2.165415558	0.005839588	0.017939036	*
D30C - D30M	Petrotogaceae	D30	C	2.055025485	1.31E-05	9.90E-05	***
D30C - D30M	Acidaminococcaceae	D30	M	4.849368864	2.75E-07	3.99E-06	***
D30C - D30M	Fusobacteriaceae	D30	M	4.837610302	1.33E-05	9.90E-05	***
D30C - D30M	Lachnospiraceae	D30	M	4.64297105	2.06E-07	3.22E-06	***
D30C - D30M	Vibrionaceae	D30	M	4.17822454	0.000356148	0.001650494	**
D30C - D30M	Flavobacteriaceae	D30	M	4.131624154	0.001866064	0.00652318	**
D30C - D30M	Nitrincolaceae	D30	M	4.10424429	1.93E-06	1.98E-05	***
D30C - D30M	Anaerovoracaceae	D30	M	3.566882912	0.009409435	0.026964848	*
D30C - D30M	Shewanellaceae	D30	M	3.338403953	0.006830256	0.020516065	*
D30C - D30M	Fusibacteraceae	D30	M	3.306982649	0.000169939	0.000861378	***
D30C - D30M	Nocardiaceae	D30	M	3.300930642	0.000437258	0.001946902	**
D30C - D30M	Arcobacteraceae	D30	M	3.029241876	4.92E-05	0.000324368	***
D30C - D30M	Marinobacteraceae	D30	M	2.870500746	3.94E-07	5.33E-06	***
D30C - D30M	Halomonadaceae	D30	M	2.811634361	1.78E-07	3.01E-06	***
D30C - D30M	Erysipelotrichaceae	D30	M	2.770733527	1.68E-06	1.85E-05	***
D30C - D30M	Idiomarinaceae	D30	M	2.730439608	8.04E-07	9.45E-06	***
D30C - D30M	Moritellaceae	D30	M	2.714186751	6.89E-05	0.000423236	***
D30C - D30M	Crocinitomicaceae	D30	M	2.679336631	4.53E-06	4.13E-05	***
D30C - D30M	Rhizobiaceae	D30	M	2.644713368	0.000109658	0.000604987	***
D30C - D30M	Bdellovibrionaceae	D30	M	2.491450364	0.000436986	0.001946902	**
D30C - D30M	Sphingomonadaceae	D30	M	2.398449607	0.000109658	0.000604987	***
D30C - D30M	Oceanospirillaceae	D30	M	2.261009259	0.000439313	0.001946902	**
D30C - D30M	Bradymonadaceae	D30	M	2.219474645	0.000114189	0.000621397	***
D30C - D30M	Akkermansiaceae	D30	M	2.199390752	0.000129967	0.000680019	***
D30C - D30M	Rhodospirillaceae	D30	M	2.188373244	3.51E-06	3.47E-05	***
D30C - D30M	Aeromonadaceae	D30	M	2.115330458	1.00E-05	8.28E-05	***
D30C - D30M	Geothermobacteraceae	D30	M	2.100024371	0.010106252	0.028539169	*
D30C - D30M	FFCH9454	D30	M	2.089474155	0.000822139	0.003350528	**
D30C - D30M	Kiritimatiellaceae	D30	M	2.086796698	0.001031737	0.00389181	**
D30C - D30M	Schleiferiaceae	D30	M	2.07993391	7.01E-05	0.000424234	***
