GTDB	dissimilatory.sulfate.....APS	dissimilatory.sulfite.....APS	dissimilatory.sulfite.....sulfide	sulfur.assimilation	ycao	Phylum	Class	Order	Family
GCA_001873635	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_001898935	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_001989995	0	0	0	1	0	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae
GCA_002069025	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002070265	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002084425	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	Desulfobacteraceae
GCA_002162835	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002171475	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002217245	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002237645	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002238525	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002238565	0	0	0	0.33	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002239085	0	0	0	0	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002256285	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002256385	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002280405	1	0	0	0.67	1	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002280515	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002293375	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinifilaceae
GCA_002293605	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002298125	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002299665	0	1	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002304835	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002304925	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae
GCA_002306075	0	0	0	0	0	p_Synergistota	c_Synergistia	o_Synergistales	Synergistaceae
GCA_002309835	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002310095	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002310215	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002315335	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002315385	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002315495	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002315535	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002315615	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002315745	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002316225	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002316385	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002316795	0	0	0	0	0	p_Synergistota	c_Synergistia	o_Synergistales	Synergistaceae
GCA_002317295	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002320005	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002323775	0	0	0	0	1	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002329565	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002329675	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002332905	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002333425	0	0	0	0.33	0	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae
GCA_002340305	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002340985	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002341165	0	0	0	0	0	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae
GCA_002341865	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002342685	0	0	0	1	0	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae
GCA_002342735	0	0	0	0.67	0	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae
GCA_002342785	0	0	0	0	0	p_Fusobacteriota	c_Fusobacteriia	o_Fusobacteriales	Fusobacteriaceae
GCA_002351925	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002352445	1	0	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae
GCA_002352605	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	Desulfosarcinaceae
GCA_002352665	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002353585	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002353825	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002354055	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002360925	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002361175	0	0	0	0.33	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002362105	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002362155	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002364215	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002366675	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002368645	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002369135	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002369295	1	1	1	0.33	0	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002371265	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002371335	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002371785	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002372505	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002372575	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002373505	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002373595	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002373675	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002376065	0	0	0	0	0	p_Firmicutes	c_Bacilli	o_Izemoplasmatales	Izemoplasmataceae
GCA_002381185	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002385545	0	0	0	0.33	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002389905	0	1	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002390935	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Peptostreptococcaceae
GCA_002392745	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002393555	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002393725	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002394305	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002394335	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002395775	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002396385	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002396645	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002399975	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002401945	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002403785	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002406015	0	0	0	0.33	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002409285	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002411085	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae
GCA_002411385	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae
GCA_002412555	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae
GCA_002418625	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002419285	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae
GCA_002422505	0	0	0	0	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002422545	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_002423245	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002423705	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002425705	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002427105	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae
GCA_002427615	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002428705	1	1	1	0.67	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002429115	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae
GCA_002429385	0	0	0	1	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae
GCA_002439735	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002439755	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002440705	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002441865	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002449845	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_002452095	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002452635	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002453475	0	0	0	0	1	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002455605	0	1	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002455975	0	0	0	0	1	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_002457295	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002472145	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002474415	0	1	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_002477945	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_002482565	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002683685	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002691165	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002695005	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002696485	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002699205	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002707745	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002712765	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002715085	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002715745	0	0	0	0	0	p_Proteobacteria	c_Gammaproteobacteria	o_Woeseiales	Woeseiaceae
GCA_002722255	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002725175	0	0	0	0.33	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002727235	0	0	0	0	0	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Ilumatobacteraceae
GCA_002728855	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002733185	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002733665	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002733915	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002733995	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae
GCA_002746415	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002748265	1	0	0	0.33	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002748285	1	0	0	0.33	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002748735	1	1	0	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfobulbaceae
GCA_002748755	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfobulbaceae
GCA_002783505	0	0	0	0.67	1	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Shewanellaceae
GCA_002786225	0	0	0	0.67	0	p_Spirochaetota	c_Leptospirae	o_Leptospirales	Leptospiraceae
GCA_002793215	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002814075	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002839185	0	0	0	0	0	p_Synergistota	c_Synergistia	o_Synergistales	Synergistaceae
GCA_002840285	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Peptostreptococcales	Anaerovoracaceae
GCA_002840405	1	1	1	0.67	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_002841115	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002842505	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002842575	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002842835	0	0	0	0.33	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002842985	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_002862705	0	0	0	0.33	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_002897615	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfobulbaceae
GCA_003129525	0	1	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_003130815	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	Flavobacteriaceae
GCA_003148945	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Lachnospirales	Lachnospiraceae
GCA_003149565	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_003150755	0	0	0	0	0	p_Firmicutes_C	c_Negativicutes	o_Acidaminococcales	Acidaminococcaceae
GCA_003240735	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_003246935	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae
GCA_003249645	1	0	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae
GCA_003250325	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Paludibacteraceae
GCA_003251015	0	0	0	0.67	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Marinilabiliaceae
GCA_003252055	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	Desulfobacteraceae
GCA_003252375	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_003263805	0	0	0	0	0	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	Vibrionaceae
GCA_003446975	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Dethiosulfatibacteraceae
GCA_003447235	0	0	0	0	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Bacteroidaceae
GCA_003457065	0	0	0	0	1	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_003487955	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Tissierellales	Sedimentibacteraceae
GCA_003500125	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae
GCA_003500165	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_003506435	0	0	0	1	0	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	Prolixibacteraceae
GCA_003509305	1	1	1	0.33	1	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	Desulfocapsaceae
GCA_003512875	0	0	1	0	0	p_Desulfobacterota	c_Desulfovibrionia	o_Desulfovibrionales	Desulfovibrionaceae
GCA_003514205	0	0	0	0.33	0	p_Actinobacteriota	c_Acidimicrobiia	o_Acidimicrobiales	Microtrichaceae
GCA_003514505	0	0	0	0	0	p_Firmicutes_A	c_Clostridia	o_Clostridiales	Clostridiaceae
GCA_003520545	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
GCA_003538835	1	0	1	0.33	1	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	Desulfobacteraceae
GCA_003551005	0	0	0	0	0	p_Firmicutes	c_Bacilli	o_Izemoplasmatales	Izemoplasmataceae
GCA_003551405	0	0	0	0	0	p_Firmicutes	c_Bacilli	o_Izemoplasmatales	Izemoplasmataceae
GCA_003551745	1	0	0	0.67	0	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	Rhodobacteraceae
